name,lat,lng,damage
บ้านเอื้ออาทรข้างนิคมอุตสาหกรรมสมุทรสาคร,13.55336167,100.2436067,1
คอนโดทิวลิปสแควร์ ต.อ้อมน้อย อ.กระทุ่มแบน จ.สมุทรสาคร,13.70566342,100.3213792,1
โรงเรียนสารสาสน์วิเทศสมุทรสาคร,13.52091845,100.1802071,1
"บ.แพนฟู้ด จำกัด ท่าทราย อาคาร 1,2,5",13.56689839,100.2597442,1
หมู่บ้านชนันธร (คุณโฉมฉาย เลขที่ 241 ซอย 9),13.56237165,100.2669608,1
อาคารเอื้ออาทรติดนิคมสมุทรสาคร,13.55328245,100.2428137,1
บริษัท ลีวัฒนา พุทธภัณฑ์ จำกัด,13.79996298,100.2814064,1
คอนโดลุมพินีวิลล์ แจ้งวัฒนะ-ปากเกร็ด,13.91096684,100.5022325,1
The plum condo คลองถนน,13.90196817,100.4057515,1
คอนโด Aliss ติวานนท์ (ทั้งสองตึก),13.85501522,100.519623,1
พลัมคอนโด บางใหญ่,13.88963242,100.4059893,1
The Midd Condo Bangyai : เดอะ มิดด์ คอนโดมิเนียม,13.88372819,100.4099945,1
คอนโดลุมพินีพาร์ค รัตนาธิเบศร์,13.86371125,100.5028656,1
คอนโดลุมพินี นครอินทร์-พระราม 5,13.83753012,100.5045443,1
Tararin Chaophaya (ธารารินทร์ เจ้าพระยา ),13.87236154,100.4814945,1
บ้านสุขปรีดาเรสซิเด้นท์,13.87623585,100.4460964,1
อันนา คอนโด บางพลู,13.85484162,100.4386326,1
Rhythm Phahon-Ari,13.78914515,100.5453533,2
Niche Pride Taopoon-Interchange : นิช ไพรด์ เตาปูน-อินเตอร์,13.80623897,100.5341945,2
คอนโด ยู เกษตร-นวมินทร์,13.85067388,100.6061628,2
บ้านเลขที่ 37 เคหะร่วมเกล้า,13.78130803,100.7146881,2
นิช โมโน เมกะ สเปซ บางนา,13.65876413,100.6594241,2
คอนโดคาซ่า ฟรานซ์ เอแบค บางนา,13.59249865,100.8294442,2
โรงพยาบาลสมุทรสาคร,13.5514167,100.2799361,2
หจก.บางกอกแสงไทย,13.70857532,100.2941437,2
เอกสินเพลส คอนโด,13.85794297,100.5267265,2
The Parkland งามวงศ์วาน-แคราย,13.85983123,100.5220557,2
บ้านเลขที่ 8 ซอยสามัคคี 60/8 ,13.87806944,100.5453565,2
The Trust Residence Ratchada-Rama 3,13.69451788,100.5360148,3
โรงพยาบาลราชวิถี อาคารทศมินทร์ 25 ,13.76450065,100.5368259,3
อาคารเคพีเอ็น พระราม 9,13.75537188,100.5866277,3
คลังสินค้า Caldic,13.54451614,100.7845055,3
Lapa Place (ลพา เพลส),13.71219569,100.5468234,1
Family Town (แฟมมิลี่ ทาวน์) ซอยอิFamily Town (แฟมมิลี่ ทาวน์) ซอยอินทามระ 29นทามระ 29,13.79193232,100.5592961,1
Maison De Ville (เมซอง เดอ วิลล์) ,13.79219682,100.5477171,1
"QUINTARA MHy'GEN RATCHADA - HUAI KHWANG 
",13.77502599,100.5745339,1
อาคารชุดดินแดง 3 อาคาร 4 ,13.75707739,100.5527735,1
คอนโด เดอะ คริส 2 รัชดา 17 ,13.7874545,100.5715654,1
เดอะ คริส 7 รัชดา 17,13.78709696,100.5715785,1
Socio Inthamara : โซซิโอ อินทามระ ,13.78856546,100.5527923,1
รัชดา คอนโดมิเนียม,13.76666498,100.562656,1
โรงพยาบาลเซเปี้ยนซ์ ,13.76996696,100.6027085,1
Premio Quinto (พรีมิโอ ควินโต) ,13.83557168,100.5733004,1
Wire Ratchada 19 (คอนโด ไวร์ รัชดา 19) ,13.80082378,100.5734243,1
โรงพบาบาลเกษมราษฎร์ ประชาชื่น,13.83198775,100.5388667,1
พาร์ค เรสซิเด้นซ์ แอทพหล  (residence พหลโยธิน 67),13.88961009,100.599269,1
"อาคาร รามา จิวเวลรี่, อาคาร สีดา",13.72313497,100.5191627,1
Top View Tower (ท็อป วิว ทาวเวอร์),13.72493874,100.5818114,1
Sync Nature Siam (ซิงค์ เนเจอร์ สยาม),13.74833964,100.5273944,1
อาคารพาณิชย์ของ นานาเตรท (Roxerina Silver Jewelry),13.72742142,100.5154086,1
บ้านเลขที่ 37 เคหะร่วมเกล้า 78แยก1 ถนนเคหะร่มเกล้า,13.77646946,100.7094914,1
อาคารชุดลุมพินี เซ็นเตอร์ นวมินทร์ ,13.77984111,100.6427631,1
Cocoon Rama 9 โคคูน พระราม 9,13.74945265,100.6364415,1
ดิ เอ็กเซล อุดมสุข,13.67982597,100.6242691,1
เทพมงคลคอนโด,13.76024537,100.6487627,1
เดอะวัน พลัสแกรดน์ รามคำแหง,13.7530859,100.6368607,1
ซอย 23 คลองหกตะวันตก บ.13/11 หมู่4,14.06291792,100.7292413,1
บ้านพักอาศัย 2 ชั้น เลขที่ 20/102 หมู่ 6 ซอยสุสวาท 8 ต.ลาดสวาย อ.ลำลูกกา จ.ปทุมธานี ,13.97457453,100.690002,1
69/359 หมู่ 3 หมู่บ้านฟ้ารังสิต อ.ธัญบุรี จ.ปทุมธานี ,13.99741113,100.6947132,1
โรงเรียนกวดวิชา Super Genius ,13.99080388,100.6032228,1
คอนโดหมู่บ้านบัณฑิตอินเตอร์ทาว์น,13.96300351,100.6509063,1
บริษัท เพาเวอร์ วิชั่น กรุ๊ป จำกัด,13.99090739,100.6033978,1
20/102 หมู่ 6 ซอยสุสวาท 8 ลาดสวาย ลำลูกกา,13.9745362,100.6901456,1
12/83 ม.6 มบ วรางกูลคลอง 4 ต.ลาดสวาย อ.ลำลูกกา จ.ปทุมธานี 12150 ,13.9743489,100.675058,1
37/10 ม.6 ต.ลาดสวาย อ.ลำลูกกา จ.ปทุมธานี ,13.98007807,100.688464,1
โครงการ พลัม พหลโยธิน89 เฟส1,13.97005227,100.6175183,1
โครงการ พลัม พหลโยธิน89 เฟส2,13.96999468,100.6172329,1
"บริษัทอาร์ บี เอส แมนูแฟคตอริ่ง จำกัด
ที่อยู่ 31/2-3 หมู่ 17 ต.บางเสาธง อ.บางเสาธง จ.สมุทรปราการ",13.57589914,100.7953886,1
501/259 ซ.แพรกษา 3/1 (บดิพัฒน์) ต.แพรกษา อ.เมือง จ.สมุทรปราการ,13.57832421,100.6311987,1
โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์,12.68852919,100.9817135,1
The plum condo คลองถนน ,13.89331936,100.4070757,1
พลัมคอนโด บางใหญ่ บางรักพัฒนา อำเภอบางบัวทอง นนทบุรี,13.88958034,100.406,1
คอนโดลุมพินี วิลล์ ประชาชื่น - พงษ์เพชร ,13.85256149,100.5438828,1
บ้านเลขที่ 123/138 หมู่บ้านลุมพินี ทาวน์วิลล์ ราชพฤกษ์ - นครอินทร์ ,13.81623299,100.4618171,1
บ้านเลขที่ 8 ซอยสามัคคี 60/8 ตำบลท่าทรายอำเภอเมืองจังหวัดนนทบุรี เป็นบ้านผู้สูงอายุในซอยสามัคคี 58 พักอาศัยกันอยู่ 3 คน มีรอยร้าวทั้งภายในและภายนอก/ เป็นบ้านผู้สูงอายุในซอยสามัคคี 58 พักอาศัยกันอยู่ 3 คน มีรอยร้าวทั้งภายในและภายนอก,13.87828994,100.5452592,1
"อาคารชุด บ้านสวนธน (3) เอ.เอ.
อาคาร บ้านสวนธน (3) 1-2AA
(อาคาร 1AA และ อาคาร 2AA)",13.86824475,100.4996506,1
หมู่บ้านดิเอ็มเมอร์รัลด์ ซอยเรวดี (บ้านเลขที่ 85) ,13.85395277,100.50216,1
บริษัท ประยงค์วูดคราฟท์ จำกัด ,13.8707484,100.471167,1
โรงเรียน เตรียมอุดมพัฒนาการ นนทบุรี,13.84843077,100.4436287,1
บ.แพนฟู้ด จำกัด พระราม 2 อาคารห้องเย็น,13.58154127,100.3089145,1
บ้านเอื้ออาทร คลองสี่วาพาสวัวดิ,13.59761361,100.3002392,1
ธนาคารแห่งประเทศไทย,13.76916377,100.5006514,1
อาคารสุขุมวิท,13.7613451,100.5295893,1
อาคารจอดรถกรมทางหลวง,13.76165519,100.5247387,1
อาคารเฉลียว วัชรพุกก์,13.76036303,100.5259296,1
อาคารสำนักงานตรวจคนเข้าเมือง,13.91749711,100.5509609,4
